,file_path,paragraph,sentence,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
320,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.","Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes.",β-bisabolenes,CHEMICAL,111,124,,,,
322,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.","The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively.",A. oxysepala,DISEASE,44,56,,,,
325,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.",The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61.,5-epi-aristolochene,CHEMICAL,92,111,,,,
327,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.",Polymorphic amino acids in or adjacent to the active cavity are marked.,amino acids,CHEMICAL,12,23,,,,
328,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.","The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.","(+)-limonene, β-sesquiphellandrenes, β-bisabolenes","CHEMICAL, CHEMICAL, CHEMICAL","35, 49, 75","47, 70, 88",,,,
331,C:\Users\shweata\docanalysis\terpene_fig\PMC8778794\sections\4_floats-group\2_fig.xml,"Figure 3DPPH scavenging of free TQ, NPCH, and NPCH-TQ.","Figure 3DPPH scavenging of free TQ, NPCH, and NPCH-TQ.",TQ,CHEMICAL,32,34,,,,
332,C:\Users\shweata\docanalysis\terpene_fig\PMC8778794\sections\4_floats-group\3_fig.xml,Figure 4Preservative activity of control cream vs. NPCH-TQ.,Figure 4Preservative activity of control cream vs. NPCH-TQ.,cream,CHEMICAL,41,46,,,,
335,C:\Users\shweata\docanalysis\terpene_fig\PMC8782336\sections\2_body\1_results_and_discussion\1_isolation_and_antibacterial_ac\3_fig.xml,"10.1371/journal.pone.0262354.g002Fig 2Inhibition of bacterial growth by Streptomyces isolates.The cross-streak method was used to measure the zone of inhibition among ten Streptomyces strains against two Gram-negative E. coli strains (MC4100 WT, JP313 ΔtolC), and one Gram-positive strain B. subtilis PY79 on (A) LB and (B) AIA. Error bars represent the standard deviation of three independent trials.","10.1371/journal.pone.0262354.g002Fig 2Inhibition of bacterial growth by Streptomyces isolates.The cross-streak method was used to measure the zone of inhibition among ten Streptomyces strains against two Gram-negative E. coli strains (MC4100 WT, JP313 ΔtolC), and one Gram-positive strain B. subtilis PY79 on (A) LB and (B) AIA.","10.1371/journal.pone.0262354.g002Fig, Gram-negative, AIA","CHEMICAL, DISEASE, DISEASE","0, 204, 324","36, 217, 327",,,,
339,C:\Users\shweata\docanalysis\terpene_fig\PMC8782336\sections\2_body\1_results_and_discussion\2_mechanistic_analysis_of_natura\2_fig.xml,"10.1371/journal.pone.0262354.g003Fig 3BCP phenotypes of E. coli JP313 ΔtolC exposed to natural products produced by four Streptomyces soil isolates grown on different solid media.Also displayed, are E. coli JP313 ΔtolC untreated controls grown on the tested media (LB agar, AIA, and ISP2 agar). White arrows indicate cells with three chromosomes. BCP images were collected after staining the cells with FM4-64 (red), DAPI (blue), and SYTOX-green (green). The scale bar represents one micron.","BCP images were collected after staining the cells with FM4-64 (red), DAPI (blue), and SYTOX-green (green).","DAPI, SYTOX-green","CHEMICAL, CHEMICAL","70, 87","74, 98",green,SYTOX-green,24,25
341,C:\Users\shweata\docanalysis\terpene_fig\PMC8782336\sections\2_body\1_results_and_discussion\3_genomic_analysis_of_four_\2_fig.xml,"10.1371/journal.pone.0262354.g004Fig 4Genome characteristics of Streptomyces strains DF, SFW, QF2, and JS isolated from soil samples.(A) Circularized representations of the linear genomes of the four bacterial isolates displayed as assembled contigs obtained from genome sequencing. (B) Genomic annotations are displayed on separate tracks; from outermost to innermost, genomes are oriented according to their threonine operons (dark blue). Predicted biosynthetic gene clusters (light blue), loci of Cas-associated protein-coding genes (green), and CRISPR arrays (purple) are shown. (C) A Venn diagram displaying the numbers of BGCs that are shared by and unique to the genomes of our isolates. Five clusters of particular importance are explicitly named.","10.1371/journal.pone.0262354.g004Fig 4Genome characteristics of Streptomyces strains DF, SFW, QF2, and JS isolated from soil samples.",10.1371/journal.pone.0262354.g004Fig 4Genome,CHEMICAL,0,44,,,,
343,C:\Users\shweata\docanalysis\terpene_fig\PMC8782336\sections\2_body\1_results_and_discussion\3_genomic_analysis_of_four_\2_fig.xml,"10.1371/journal.pone.0262354.g004Fig 4Genome characteristics of Streptomyces strains DF, SFW, QF2, and JS isolated from soil samples.(A) Circularized representations of the linear genomes of the four bacterial isolates displayed as assembled contigs obtained from genome sequencing. (B) Genomic annotations are displayed on separate tracks; from outermost to innermost, genomes are oriented according to their threonine operons (dark blue). Predicted biosynthetic gene clusters (light blue), loci of Cas-associated protein-coding genes (green), and CRISPR arrays (purple) are shown. (C) A Venn diagram displaying the numbers of BGCs that are shared by and unique to the genomes of our isolates. Five clusters of particular importance are explicitly named.","(B) Genomic annotations are displayed on separate tracks; from outermost to innermost, genomes are oriented according to their threonine operons (dark blue).",threonine,CHEMICAL,127,136,,,,
348,C:\Users\shweata\docanalysis\terpene_fig\PMC8782336\sections\2_body\1_results_and_discussion\3_genomic_analysis_of_four_\4_fig.xml,"10.1371/journal.pone.0262354.g005Fig 5Comparison of BGCs encoded in the genomes of bacterial soil isolates and the predicted most similar, previously characterized BGC with an antibacterial product.(A) Strain QF2, BGC 21, compared to the BGC previously described to produce the antibiotic viomycin (NCBI Acc No. AY263398.1), encoded in the WGS of S. vinaceus ATCC 11861. (B) Strain JS, BGC 7, compared to the BGC previously described to produce the antibacterial sesquiterpene Albaflavenone (NCBI Acc No. AL645882.2), encoded in the WGS of S. coelicolor A3(2). (C) Strain SFW, BGC 1, compared to the BGC previously described to produce the antibacterial beta-lactam Carbapenem MM 4550 (NCBI Acc No. KF042303.1), encoded in the WGS of S. argenteolus ATCC 11009. (D) Strain DF, BGC 29, compared to the BGC previously described to produce the ammonium ionophore antibiotic Nonactin (NCBI Acc No. AF074603.2), encoded in the WGS of S. griseus subsp. griseus ETH A7796. Cluster comparisons were constructed in Easyfig. Regions of nucleotide homology are indicated on a gray scale and genes are colored according to the putative function of the corresponding protein product.","(A) Strain QF2, BGC 21, compared to the BGC previously described to produce the antibiotic viomycin (NCBI Acc No.",viomycin,CHEMICAL,91,99,,,,
